# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
334 0.00891156 0.00875265 0.00868791 0.0263521
335 0.00890199 0.00874522 0.00867878 0.026326
336 0.00889244 0.00873786 0.00866972 0.0263
337 0.00888292 0.00873057 0.00866073 0.0262742
338 0.00887344 0.00872334 0.00865183 0.0262486
339 0.00886399 0.00871618 0.008643 0.0262232
340 0.00885458 0.0087091 0.00863427 0.0261979
341 0.00884522 0.00870209 0.00862563 0.0261729
342 0.0088359 0.00869517 0.00861709 0.0261482
343 0.00882664 0.00868832 0.00860865 0.0261236
344 0.00881744 0.00868156 0.00860031 0.0260993
345 0.0088083 0.00867489 0.00859208 0.0260753
346 0.00879923 0.00866831 0.00858397 0.0260515
347 0.00879022 0.00866182 0.00857598 0.026028
348 0.00878129 0.00865542 0.00856811 0.0260048
349 0.00877243 0.00864913 0.00856036 0.0259819
350 0.00876366 0.00864293 0.00855275 0.0259593
351 0.00875497 0.00863684 0.00854528 0.0259371
352 0.00874636 0.00863085 0.00853794 0.0259152
353 0.00873784 0.00862497 0.00853075 0.0258936
354 0.00872942 0.0086192 0.00852371 0.0258723
355 0.0087211 0.00861355 0.00851682 0.0258515
356 0.00871287 0.00860801 0.00851009 0.025831
357 0.00870475 0.00860259 0.00850352 0.0258109
358 0.00869673 0.00859729 0.00849711 0.0257911
359 0.00868882 0.00859211 0.00849088 0.0257718
360 0.00868103 0.00858706 0.00848481 0.0257529
361 0.00867334 0.00858214 0.00847893 0.0257344
362 0.00866578 0.00857735 0.00847322 0.0257164
363 0.00865833 0.00857269 0.0084677 0.0256987
364 0.00865101 0.00856818 0.00846237 0.0256816
365 0.00864382 0.0085638 0.00845722 0.0256648
366 0.00863675 0.00855956 0.00845228 0.0256486
367 0.00862982 0.00855546 0.00844753 0.0256328
368 0.00862302 0.00855151 0.00844297 0.0256175
369 0.00861636 0.00854771 0.00843863 0.0256027
370 0.00860984 0.00854407 0.00843449 0.0255884
371 0.00860346 0.00854057 0.00843055 0.0255746
372 0.00859723 0.00853723 0.00842683 0.0255613
373 0.00859115 0.00853405 0.00842332 0.0255485
374 0.00858522 0.00853103 0.00842002 0.0255363
375 0.00857944 0.00852818 0.00841694 0.0255246
376 0.00857383 0.00852548 0.00841408 0.0255134
377 0.00856837 0.00852296 0.00841143 0.0255028
378 0.00856308 0.0085206 0.008409 0.0254927
379 0.00855795 0.00851841 0.0084068 0.0254832
380 0.008553 0.0085164 0.00840481 0.0254742
381 0.00854821 0.00851456 0.00840305 0.0254658
382 0.0085436 0.00851289 0.00840151 0.025458
383 0.00853916 0.0085114 0.00840018 0.0254507
384 0.00853491 0.00851009 0.00839908 0.0254441
385 0.00853083 0.00850895 0.0083982 0.025438
386 0.00852693 0.008508 0.00839754 0.0254325
387 0.00852322 0.00850722 0.00839709 0.0254275
388 0.0085197 0.00850663 0.00839687 0.0254232
389 0.00851636 0.00850622 0.00839686 0.0254194
390 0.00851321 0.00850599 0.00839706 0.0254163
391 0.00851025 0.00850594 0.00839747 0.0254137
392 0.00850748 0.00850607 0.0083981 0.0254116
393 0.0085049 0.00850638 0.00839893 0.0254102
394 0.00850252 0.00850688 0.00839997 0.0254094
395 0.00850033 0.00850755 0.00840121 0.0254091
396 0.00849833 0.00850841 0.00840265 0.0254094
397 0.00849652 0.00850944 0.00840428 0.0254102
398 0.00849491 0.00851065 0.00840612 0.0254117
399 0.00849349 0.00851204 0.00840814 0.0254137
400 0.00849226 0.0085136 0.00841035 0.0254162
401 0.00849123 0.00851534 0.00841274 0.0254193
402 0.00849039 0.00851725 0.00841531 0.0254229
403 0.00848973 0.00851933 0.00841806 0.0254271
404 0.00848927 0.00852157 0.00842098 0.0254318
405 0.00848899 0.00852399 0.00842407 0.025437
406 0.0084889 0.00852657 0.00842732 0.0254428
407 0.00848899 0.00852931 0.00843074 0.025449
408 0.00848926 0.00853221 0.0084343 0.0254558
409 0.00848972 0.00853527 0.00843802 0.025463
410 0.00849035 0.00853848 0.00844189 0.0254707
411 0.00849116 0.00854185 0.00844589 0.0254789
412 0.00849214 0.00854536 0.00845003 0.0254875
413 0.00849329 0.00854903 0.00845431 0.0254966
414 0.00849461 0.00855284 0.00845871 0.0255062
415 0.00849609 0.00855679 0.00846324 0.0255161
416 0.00849774 0.00856089 0.00846788 0.0255265
417 0.00849954 0.00856512 0.00847264 0.0255373
418 0.0085015 0.00856949 0.00847751 0.0255485
419 0.00850361 0.00857399 0.00848248 0.0255601
420 0.00850587 0.00857862 0.00848755 0.025572
421 0.00850828 0.00858337 0.00849273 0.0255844
422 0.00851082 0.00858826 0.00849799 0.0255971
423 0.00851351 0.00859326 0.00850335 0.0256101
424 0.00851634 0.00859839 0.00850879 0.0256235
425 0.00851929 0.00860364 0.00851431 0.0256372
426 0.00852238 0.008609 0.00851991 0.0256513
427 0.0085256 0.00861448 0.00852558 0.0256657
428 0.00852893 0.00862007 0.00853133 0.0256803
429 0.00853239 0.00862576 0.00853715 0.0256953
430 0.00853597 0.00863157 0.00854303 0.0257106
431 0.00853966 0.00863748 0.00854897 0.0257261
432 0.00854347 0.0086435 0.00855497 0.0257419
433 0.00854738 0.00864961 0.00856103 0.025758
434 0.0085514 0.00865583 0.00856715 0.0257744
435 0.00855553 0.00866214 0.00857331 0.025791
436 0.00855976 0.00866855 0.00857952 0.0258078
437 0.00856409 0.00867505 0.00858578 0.0258249
438 0.00856851 0.00868164 0.00859208 0.0258422
439 0.00857303 0.00868832 0.00859843 0.0258598
440 0.00857764 0.00869508 0.00860481 0.0258775
441 0.00858234 0.00870192 0.00861123 0.0258955
442 0.00858713 0.00870885 0.00861768 0.0259137
443 0.00859201 0.00871585 0.00862417 0.025932
444 0.00859696 0.00872292 0.00863068 0.0259506
445 0.008602 0.00873007 0.00863723 0.0259693
446 0.00860712 0.00873728 0.0086438 0.0259882
447 0.00861231 0.00874456 0.0086504 0.0260073
448 0.00861758 0.0087519 0.00865702 0.0260265
449 0.00862291 0.00875929 0.00866365 0.0260459
450 0.00862832 0.00876674 0.00867031 0.0260654
451 0.00863379 0.00877424 0.00867699 0.026085
