# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
338 0.0298214 0.0354573 0.0321932 0.0974719
339 0.0312855 0.0369945 0.0333327 0.101613
340 0.0327574 0.0385338 0.0344812 0.105772
341 0.0342361 0.0400742 0.0356377 0.109948
342 0.0357205 0.0416148 0.0368011 0.114137
343 0.0372095 0.0431547 0.0379705 0.118335
344 0.038702 0.0446928 0.0391448 0.12254
345 0.0401967 0.0462281 0.0403228 0.126748
346 0.0416926 0.0477597 0.0415035 0.130956
347 0.0431884 0.0492864 0.0426859 0.135161
348 0.0446828 0.0508073 0.0438688 0.139359
349 0.0461747 0.0523213 0.0450512 0.143547
350 0.0476627 0.0538272 0.0462319 0.147722
351 0.0491456 0.055324 0.04741 0.15188
352 0.0506222 0.0568104 0.0485841 0.156017
353 0.052091 0.0582854 0.0497534 0.16013
354 0.0535508 0.0597478 0.0509166 0.164215
355 0.0550004 0.0611964 0.0520726 0.168269
356 0.0564382 0.06263 0.0532203 0.172289
357 0.0578631 0.0640474 0.0543586 0.176269
358 0.0592738 0.0654473 0.0554864 0.180207
359 0.0606688 0.0668286 0.0566025 0.1841
360 0.0620469 0.0681901 0.0577057 0.187943
361 0.0634067 0.0695305 0.0587949 0.191732
362 0.0647471 0.0708485 0.0598689 0.195465
363 0.0660666 0.0721431 0.0609267 0.199136
364 0.067364 0.0734129 0.0619669 0.202744
365 0.0686381 0.0746568 0.0629885 0.206283
366 0.0698876 0.0758735 0.0639902 0.209751
367 0.0711114 0.077062 0.064971 0.213144
368 0.0723082 0.0782209 0.0659297 0.216459
369 0.0734769 0.0793491 0.0668652 0.219691
370 0.0746163 0.0804454 0.0677763 0.222838
371 0.0757253 0.0815087 0.0686619 0.225896
372 0.0768027 0.0825377 0.0695209 0.228861
373 0.0778476 0.0835313 0.0703523 0.231731
374 0.0788589 0.0844884 0.0711551 0.234502
375 0.0798355 0.0854076 0.071928 0.237171
376 0.0807765 0.086288 0.0726703 0.239735
377 0.081681 0.0871282 0.0733809 0.24219
378 0.082548 0.0879271 0.0740589 0.244534
379 0.0833766 0.0886835 0.0747034 0.246763
380 0.084166 0.0893963 0.0753135 0.248876
381 0.0849155 0.0900643 0.0758884 0.250868
382 0.0856242 0.0906863 0.0764274 0.252738
383 0.0862914 0.0912612 0.0769297 0.254482
384 0.0869164 0.0917879 0.0773946 0.256099
385 0.0874986 0.0922654 0.0778217 0.257586
386 0.0880373 0.0926927 0.0782102 0.25894
387 0.088532 0.0930687 0.0785598 0.26016
388 0.0889821 0.0933925 0.0788699 0.261245
389 0.0893871 0.0936633 0.0791403 0.262191
390 0.0897464 0.0938802 0.0793707 0.262997
391 0.0900597 0.0940425 0.0795607 0.263663
392 0.0903265 0.0941496 0.0797103 0.264186
393 0.0905463 0.0942009 0.0798192 0.264566
394 0.0907188 0.0941958 0.0798875 0.264802
395 0.0908437 0.094134 0.079915 0.264893
396 0.0909205 0.0940152 0.0799019 0.264838
397 0.0909491 0.0938392 0.0798482 0.264636
398 0.090929 0.0936058 0.079754 0.264289
399 0.0908602 0.0933151 0.0796194 0.263795
400 0.0907423 0.0929672 0.0794446 0.263154
401 0.0905752 0.0925622 0.0792298 0.262367
402 0.0903587 0.0921005 0.0789752 0.261434
403 0.0900927 0.0915823 0.0786811 0.260356
404 0.0897771 0.0910083 0.0783476 0.259133
405 0.0894119 0.090379 0.0779751 0.257766
406 0.088997 0.089695 0.0775637 0.256256
