# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
545 1.00537 0.975506 0.974018 2.95489
546 1.00532 0.97545 0.973954 2.95472
547 1.00526 0.975393 0.973888 2.95454
548 1.0052 0.975335 0.973823 2.95436
549 1.00515 0.975277 0.973756 2.95418
550 1.00509 0.975218 0.973688 2.954
551 1.00503 0.975159 0.97362 2.95381
552 1.00497 0.975098 0.973551 2.95362
553 1.00491 0.975037 0.973482 2.95343
554 1.00485 0.974975 0.973411 2.95324
555 1.00479 0.974912 0.97334 2.95304
556 1.00473 0.974849 0.973268 2.95285
557 1.00467 0.974784 0.973195 2.95265
558 1.0046 0.974719 0.973122 2.95244
559 1.00454 0.974653 0.973047 2.95224
560 1.00447 0.974586 0.972972 2.95203
561 1.00441 0.974519 0.972896 2.95182
562 1.00434 0.97445 0.972819 2.95161
563 1.00427 0.974381 0.972741 2.95139
564 1.0042 0.97431 0.972663 2.95118
565 1.00413 0.974239 0.972583 2.95096
566 1.00406 0.974167 0.972503 2.95073
567 1.00399 0.974094 0.972421 2.95051
568 1.00392 0.97402 0.972339 2.95028
569 1.00385 0.973946 0.972256 2.95005
570 1.00377 0.97387 0.972172 2.94981
571 1.0037 0.973793 0.972087 2.94958
572 1.00362 0.973715 0.972 2.94934
573 1.00354 0.973637 0.971913 2.94909
574 1.00346 0.973557 0.971825 2.94885
575 1.00338 0.973476 0.971736 2.9486
576 1.0033 0.973394 0.971646 2.94834
577 1.00322 0.973311 0.971555 2.94809
578 1.00314 0.973228 0.971463 2.94783
579 1.00305 0.973142 0.971369 2.94757
580 1.00297 0.973056 0.971275 2.9473
581 1.00288 0.972969 0.971179 2.94703
582 1.00279 0.97288 0.971082 2.94676
583 1.00271 0.972791 0.970984 2.94648
584 1.00262 0.9727 0.970885 2.9462
585 1.00252 0.972608 0.970785 2.94592
586 1.00243 0.972514 0.970683 2.94563
587 1.00234 0.97242 0.97058 2.94534
588 1.00224 0.972324 0.970476 2.94504
589 1.00215 0.972226 0.97037 2.94474
